rank_id,tag,feature_mode,ngram_range,min_df,max_df,max_features,sublinear_tf,seed,n_init,n_samples,n_clusters,vocab_size,acc,nmi,ari,silhouette_cosine,elapsed_seconds,cluster_to_label_mapping
76,800,char,"(2, 4)",2,0.9,40000,True,42,50,800,4,40000,0.84375,0.735183,0.661012,,15.7983,"{0: 2, 1: 3, 2: 1, 3: 0}"
84,800,char,"(2, 4)",2,0.95,30000,True,66,50,800,4,30000,0.84375,0.735183,0.661012,,16.7218,"{0: 2, 1: 0, 2: 3, 3: 1}"
85,800,char,"(2, 4)",2,0.95,40000,True,42,50,800,4,40000,0.84375,0.735183,0.661012,,17.7987,"{0: 2, 1: 3, 2: 1, 3: 0}"
7,800,char,"(2, 3)",1,0.9,60000,True,42,50,800,4,60000,0.84375,0.734437,0.660781,,9.8929,"{0: 3, 1: 1, 2: 0, 3: 2}"
9,800,char,"(2, 3)",1,0.9,60000,True,66,50,800,4,60000,0.84375,0.734437,0.660781,,9.6759,"{0: 0, 1: 3, 2: 2, 3: 1}"
16,800,char,"(2, 3)",1,0.95,60000,True,42,50,800,4,60000,0.84375,0.734437,0.660781,,17.1477,"{0: 3, 1: 1, 2: 0, 3: 2}"
18,800,char,"(2, 3)",1,0.95,60000,True,66,50,800,4,60000,0.84375,0.734437,0.660781,,12.4582,"{0: 0, 1: 3, 2: 2, 3: 1}"
20,800,char,"(2, 3)",2,0.9,30000,True,52,50,800,4,30000,0.8425,0.739801,0.655339,,11.1499,"{0: 2, 1: 3, 2: 0, 3: 1}"
29,800,char,"(2, 3)",2,0.95,30000,True,52,50,800,4,30000,0.8425,0.739801,0.655339,,11.2808,"{0: 2, 1: 3, 2: 0, 3: 1}"
37,800,char,"(2, 3)",3,0.9,30000,True,42,50,800,4,30000,0.8425,0.73704,0.657668,,10.1431,"{0: 2, 1: 0, 2: 3, 3: 1}"
46,800,char,"(2, 3)",3,0.95,30000,True,42,50,800,4,30000,0.8425,0.73704,0.657668,,10.4048,"{0: 2, 1: 0, 2: 3, 3: 1}"
6,800,char,"(2, 3)",1,0.9,40000,True,66,50,800,4,40000,0.8425,0.732695,0.657515,,6.9394,"{0: 0, 1: 2, 2: 3, 3: 1}"
15,800,char,"(2, 3)",1,0.95,40000,True,66,50,800,4,40000,0.8425,0.732695,0.657515,,13.367,"{0: 0, 1: 2, 2: 3, 3: 1}"
21,800,char,"(2, 3)",2,0.9,30000,True,66,50,800,4,30000,0.8425,0.732695,0.657515,,9.8094,"{0: 0, 1: 2, 2: 3, 3: 1}"
30,800,char,"(2, 3)",2,0.95,30000,True,66,50,800,4,30000,0.8425,0.732695,0.657515,,11.0981,"{0: 0, 1: 2, 2: 3, 3: 1}"
